x,p,W(x,p)
-6.000000,2.683417,0.0002554463
-6.000000,2.743719,0.0008833037
-6.000000,2.804020,0.0016821517
-6.000000,2.864322,0.0027749383
-6.000000,2.924623,0.0042739187
-6.000000,2.984925,0.0062680690
-6.000000,3.045226,0.0088038482
-6.000000,3.105528,0.0118629879
-6.000000,3.165829,0.0153435786
-6.000000,3.226131,0.0190519663
-6.000000,3.286432,0.0227119651
-6.000000,3.346734,0.0259942831
-6.000000,3.407035,0.0285634837
-6.000000,3.467337,0.0301338971
-6.000000,3.527638,0.0305218185
-6.000000,3.587940,0.0296808637
-6.000000,3.648241,0.0277110945
-6.000000,3.708543,0.0248394371
-6.000000,3.768844,0.0213766892
-6.000000,3.829146,0.0176623612
-6.000000,3.889447,0.0140108161
-6.000000,3.949749,0.0106702286
-6.000000,4.010050,0.0078008948
-6.000000,4.070352,0.0054734354
-6.000000,4.130653,0.0036824842
-6.000000,4.190955,0.0023688316
-6.000000,4.251256,0.0014429160
-6.000000,4.311558,0.0008043587
-6.000000,4.371859,0.0003548803
-6.000000,4.432161,0.0000044472
-6.000000,4.492462,-0.0003277015
-6.000000,4.552764,-0.0007145839
-6.000000,4.613065,-0.0012228660
-6.000000,4.673367,-0.0019119110
-6.000000,4.733668,-0.0028292356
-6.000000,4.793970,-0.0040024299
-6.000000,4.854271,-0.0054290743
-6.000000,4.914573,-0.0070675239
-6.000000,4.974874,-0.0088321723
-6.000000,5.035176,-0.0105965110
-6.000000,5.095477,-0.0122057495
-6.000000,5.155779,-0.0134981917
-6.000000,5.216080,-0.0143316879
-6.000000,5.276382,-0.0146093203
-6.000000,5.336683,-0.0142979473
-6.000000,5.396985,-0.0134347130
-6.000000,5.457286,-0.0121197613
-6.000000,5.517588,-0.0104971282
-6.000000,5.577889,-0.0087288500
-6.000000,5.638191,-0.0069686949
-6.000000,5.698492,-0.0053412944
-6.000000,5.758794,-0.0039302349
-6.000000,5.819095,-0.0027758088
-6.000000,5.879397,-0.0018806329
-6.000000,5.939698,-0.0012198880
-6.000000,6.000000,-0.0007527239
-5.939698,-6.000000,-0.0012198880
-5.939698,-5.939698,-0.0019763292
-5.939698,-5.879397,-0.0030464910
-5.939698,-5.819095,-0.0044964754
-5.939698,-5.758794,-0.0063664475
-5.939698,-5.698492,-0.0086521482
-5.939698,-5.638191,-0.0112882991
-5.939698,-5.577889,-0.0141394976
-5.939698,-5.517588,-0.0170038558
-5.939698,-5.457286,-0.0196322902
-5.939698,-5.396985,-0.0217623250
-5.939698,-5.336683,-0.0231606417
-5.939698,-5.276382,-0.0236650217
-5.939698,-5.216080,-0.0232152967
-5.939698,-5.155779,-0.0218651518
-5.939698,-5.095477,-0.0197715799
-5.939698,-5.035176,-0.0171648442
-5.939698,-4.974874,-0.0143068716
-5.939698,-4.914573,-0.0114484054
-5.939698,-4.854271,-0.0087943831
-5.939698,-4.793970,-0.0064834995
-5.939698,-4.733668,-0.0045832663
-5.939698,-4.673367,-0.0030977080
-5.939698,-4.613065,-0.0019823333
-5.939698,-4.552764,-0.0011605336
-5.939698,-4.492462,-0.0005367677
-5.939698,-4.432161,-0.0000040447
-5.939698,-4.371859,0.0005543970
-5.939698,-4.311558,0.0012672224
-5.939698,-4.251256,0.0022774271
-5.939698,-4.190955,0.0037407700
-5.939698,-4.130653,0.0058161299
-5.939698,-4.070352,0.0086451650
-5.939698,-4.010050,0.0123215066
-5.939698,-3.949749,0.0168536892
-5.939698,-3.889447,0.0221301960
-5.939698,-3.829146,0.0278978517
-5.939698,-3.768844,0.0337646689
-5.939698,-3.708543,0.0392341111
-5.939698,-3.648241,0.0437699200
-5.939698,-3.587940,0.0468811882
-5.939698,-3.527638,0.0482094837
-5.939698,-3.467337,0.0475967583
-5.939698,-3.407035,0.0451162760
-5.939698,-3.346734,0.0410582000
-5.939698,-3.286432,0.0358737470
-5.939698,-3.226131,0.0300927399
-5.939698,-3.165829,0.0242352914
-5.939698,-3.105528,0.0187376252
-5.939698,-3.045226,0.0139055872
-5.939698,-2.984925,0.0099000749
-5.939698,-2.924623,0.0067498043
-5.939698,-2.864322,0.0043811262
-5.939698,-2.804020,0.0026530157
-5.939698,-2.743719,0.0013873264
-5.939698,-2.683417,0.0003884950
